,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
MA,0.971595888009165,0.9328886933231754,0.9364502562717769,0.9732943174480653,0.9677247378356406,0.9543082595988555,0.9760149510927549,0.9797838572447839,0.9425685481418602,0.971961342053024,0.9359288847519294,0.9454765159926707,0.9675368199140645,0.9541939822422901,0.9580306808696335,0.9714212246537447,0.9714242002023251,0.9435195531054003,0.9932793143996087,0.9727519494315127,1.0,0.8965250417310764,0.9808578583406132,0.9708558223681626,0.9843025253763809,0.9477924321447994,0.9615513065240855,0.8824439238909679,0.9954547087507125,0.9858003903745102,0.959305109043476,0.9916454105313229,0.9745274560217062,0.8954073681798012,0.942576558420432,0.9260471861833387,0.9461890444309328,0.9796015735765129,0.9832845552713827,0.9778780114589424,0.9569511068873336,0.9733412949704684,0.9324468773508934,0.9362273476000257,0.9796006396423673,0.9797272208117063,0.9595168667330334,0.9556258918542968,0.9681976091845766,0.9216805970499028
MI,0.906021221513459,0.7778627716857094,0.8671327453599953,0.8893969755845875,0.8728611891048201,0.8879193978415152,0.8595178410853501,0.8677185027914937,0.86589211407581,0.9549308240446297,0.7907660413460762,0.8727837284533888,0.9394634508544221,0.9513167525486942,0.9013450114904266,0.8994649420405768,0.9158227751678496,0.8189795839927626,0.868966005607432,0.8495053537676007,0.8965250417310764,1.0,0.9273364801178114,0.8894755389705596,0.9294881003220997,0.8277053606285344,0.9150749970593903,0.8850800055084405,0.8849144735785429,0.8622181754386836,0.8631688954739649,0.8614774804401714,0.9109466144986255,0.73629276434296,0.9757795939629629,0.8056224428430543,0.8684425324287325,0.8647461339900259,0.8813072488904623,0.906036690481904,0.8541624412481877,0.8984991218195207,0.8042009113013192,0.8646666295437262,0.8434343745842625,0.8504647577460425,0.8731322521496274,0.8583825940722668,0.9296404174651154,0.7744341415082491
MN,0.9769859928116956,0.9371274185305326,0.9601843440057554,0.9778278304152056,0.9724893181879115,0.9696644844644589,0.9428749542069119,0.9707369787042531,0.9621786599147976,0.981432736114678,0.9237480132975221,0.9689257538434675,0.9838693204310427,0.9653943376791466,0.9754289810578154,0.9815945266942201,0.9771035752259666,0.9563824889612389,0.9732617923249791,0.9712944394763866,0.9808578583406132,0.9273364801178114,1.0,0.9773395078508009,0.991701919238577,0.9595848580959925,0.974668667874131,0.917355786354785,0.9749593700551825,0.9704619382174929,0.9654669183691628,0.9685604734430643,0.9742699190496078,0.886511839847677,0.9598880881247895,0.9403467474422151,0.9705222233155969,0.9665553096472026,0.9681978148371516,0.981105865925203,0.960116926993249,0.9742792142668238,0.9300902596507822,0.9591410292351594,0.9620590543365876,0.9749120228113857,0.9736846542653754,0.9650856299182302,0.9882111994257732,0.9381904777204484
MS,0.9966734542624721,0.9641543796569032,0.9399289731547151,0.9977028149792837,0.9427436659031788,0.9698224707030794,0.94337086382508,0.9784351474372205,0.9301671711320326,0.9711032692323617,0.9456067357315691,0.98264536839234,0.9739358651432873,0.9763411899379256,0.9882917717465397,0.9934313124807816,0.9927952719867733,0.9803551480920267,0.9756889334820069,0.9693479420284481,0.9708558223681626,0.8894755389705596,0.9773395078508009,1.0,0.9913142617599824,0.9821556808139649,0.988204889720685,0.8648359527772781,0.9588138475135038,0.9685712462205233,0.9936712731153582,0.9769131685718195,0.9946832581325465,0.9195958845167511,0.9563186656205053,0.9641708426044356,0.9794890946999051,0.9847416927294231,0.9479462557710789,0.9961794585494596,0.9832125607557091,0.9938771494215761,0.9515357933349257,0.9837830564498036,0.9796557327622544,0.9781694326022552,0.9836361327024177,0.9883975084322608,0.9881294076207591,0.963445152092412
MO,0.9939716106814502,0.9410128704555774,0.9487863525570809,0.9915328950764865,0.9596573328666602,0.9697260445223538,0.9571450664089702,0.9803418202675301,0.9461146399644701,0.988979627943501,0.9355117925017311,0.9755055706552381,0.9889032818985971,0.9846719800298551,0.9841181704210545,0.9905338716782515,0.9923181127840304,0.9616917619213114,0.981172006083463,0.9711980112686669,0.9843025253763809,0.9294881003220997,0.991701919238577,0.9913142617599824,1.0,0.9653810324677452,0.9867652119553725,0.8988544505755046,0.975852502153895,0.9755593637288797,0.9822970963922549,0.9795244118368354,0.9933644545336285,0.8946734688839563,0.9760625331728414,0.9456780429328977,0.9723844849217168,0.9820257444568672,0.9680045930720681,0.9951006372187668,0.9708538153917232,0.9899628549921063,0.93807468894817,0.9690902863411673,0.9745477541721435,0.9767530703122409,0.9792844522448256,0.9755483893000731,0.9938976823507575,0.9385579926272505
MT,0.9737834447708631,0.9826239222223349,0.931199874210562,0.983596511414286,0.942352974743676,0.9748886889152492,0.9014965468326204,0.9615769427275231,0.922849302275877,0.9326881156724317,0.967578601092501,0.983806353886678,0.9396521788555494,0.9424994587204887,0.9829771745407043,0.9828150080958552,0.9745719984393508,0.9909970199034519,0.9605393346088914,0.9645552151953436,0.9477924321447994,0.8277053606285344,0.9595848580959925,0.9821556808139649,0.9653810324677452,1.0,0.974735292747408,0.8362969839643047,0.929868857298881,0.9475659620517567,0.9795754113750164,0.961191907045703,0.9705193028791401,0.9628917060816166,0.907243153962857,0.9729522369729039,0.9905927070461104,0.9740720823674874,0.9217661028813867,0.9761534214796773,0.9923615021100162,0.9821931790613451,0.9677872995965006,0.9895985034656309,0.974321610526463,0.9782123704980549,0.9884571031989405,0.994172804039973,0.9661835044719839,0.9927946277496211
NE,0.9863546290101243,0.9550691921151663,0.9174603730150914,0.9914389400150374,0.9328596575921638,0.9864292613016463,0.911238933495181,0.9533902263366676,0.908498654385955,0.9698207473093667,0.9341259468900486,0.9699149055160111,0.9619083294025481,0.9880020759432664,0.9959215537340502,0.996484720822509,0.9962438703210909,0.9737529037268065,0.9580296578200458,0.9432569230192356,0.9615513065240855,0.9150749970593903,0.974668667874131,0.988204889720685,0.9867652119553725,0.974735292747408,1.0,0.8484136860496209,0.9394498305893684,0.9402634928872254,0.9736944536118839,0.9574723324934367,0.9883802309715366,0.931389093471217,0.9680532501260058,0.965017268684116,0.9745888618815234,0.9696994573467589,0.9244263811683961,0.9879345608409191,0.987835938971099,0.9932274675017317,0.9605101471441991,0.981088622721765,0.9620163590799802,0.959432085006442,0.9755393331771225,0.9861442203460309,0.9846832700183883,0.9527925004512372
NV,0.8761490454422319,0.807796424687322,0.9653840044661195,0.8652393292773463,0.9442735363324289,0.841938263343475,0.8764225433993207,0.8946053704613111,0.9725983088895143,0.9205117384131772,0.8448378121608725,0.9015319079760529,0.9217996964251218,0.8578072785298367,0.840916899162691,0.8533633456232615,0.8541833997847098,0.8276872688439536,0.8764340658902272,0.9122251169280344,0.8824439238909679,0.8850800055084405,0.917355786354785,0.8648359527772781,0.8988544505755046,0.8362969839643047,0.8484136860496209,1.0,0.8969852554382991,0.8966981171208336,0.8723864010457606,0.8696833552190045,0.8670748275440414,0.7254734993696751,0.8778936353926844,0.8051485382391073,0.8838807718909482,0.8622627734506596,0.9199946922581175,0.8794643189320649,0.8154580866416843,0.8612182183596462,0.7956055537405134,0.8529940260821751,0.8501227648495233,0.893028634135879,0.8895566217859704,0.8349768204845646,0.8894133602768252,0.8033200967354364
NH,0.9608354337208191,0.9154844610708737,0.9420812251066213,0.9597137854210346,0.9673743084767032,0.9302962382312348,0.9858761925577644,0.9789542037822363,0.9503266639416934,0.9653284347308915,0.9210419153870933,0.9350427627872396,0.9655718103908081,0.9350421581071482,0.9366068870433715,0.9544774635890455,0.9533581113653764,0.9274620414341498,0.9900152751413229,0.9739861315349446,0.9954547087507125,0.8849144735785429,0.9749593700551825,0.9588138475135038,0.975852502153895,0.929868857298881,0.9394498305893684,0.8969852554382991,1.0,0.9901919387886098,0.9516485168729775,0.987457504810897,0.9612523827373256,0.8629812036456787,0.9287330965087094,0.9076397736526902,0.9310911287098848,0.9706345161725887,0.990873489515637,0.9665269874081739,0.9327299146279666,0.9563536897326284,0.9087342864248575,0.9167992038818189,0.9713809407547642,0.9749585112544294,0.946668143130051,0.936244719079315,0.9571472166903906,0.9044680207731383
NJ,0.9718808815549269,0.9289150491503839,0.947246205679424,0.9683578597530185,0.9662543409977864,0.9208597065431753,0.9890332835142008,0.9955086791708971,0.9544548630821976,0.9555277545469019,0.9449281321142674,0.9532842247300461,0.9739107461331087,0.9359159427521441,0.9436104501916007,0.9556714961590178,0.9584989014565864,0.9384072588314619,0.9943323868022619,0.9919604525059448,0.9858003903745102,0.8622181754386836,0.9704619382174929,0.9685712462205233,0.9755593637288797,0.9475659620517567,0.9402634928872254,0.8966981171208336,0.9901919387886098,1.0,0.9722326852308233,0.9939595563675587,0.9676457673503365,0.8686215184061193,0.9252943426107091,0.9117161204959331,0.94542673852406,0.9860375942352568,0.9935179014793326,0.973329055615156,0.940380341528178,0.9605327456777699,0.9021550106957278,0.9298683136260417,0.9864165881902055,0.9884957022976115,0.9602257728123287,0.9513059158783507,0.9653285380390302,0.9253934690484608
